timestamp,value,predicted_value,error,p_label,fired,r_label
2014-04-02 14:25:00,0,-141176114.11,141176114.11,0,-1,0
2014-04-02 14:30:00,0,-12237441.4111,12237441.4111,0,-1,0
2014-04-02 14:35:00,0,-75190683.0357,75190683.0357,0,-1,0
2014-04-02 14:40:00,0,42340701.2783,42340701.2783,0,-1,0
2014-04-02 14:45:00,0,50673735.9868,50673735.9868,0,-1,0
2014-04-02 14:50:00,0,80041899.3924,80041899.3924,0,-1,0
2014-04-02 14:55:00,0,-92354825.9532,92354825.9532,0,-1,0
2014-04-02 15:00:00,19949200,43175691.7159,23226491.7159,0,-1,0
2014-04-02 15:05:00,48951300,-16794571.2609,65745871.2609,0,-1,0
2014-04-02 15:10:00,431199000,22094134.1287,409104865.871,0,-1,0
2014-04-02 15:15:00,36434700,-119773985.812,156208685.812,0,-1,0
2014-04-02 15:20:00,1558940,10838753.271,9279813.27097,0,-1,0
2014-04-02 15:25:00,0,173047877.065,173047877.065,0,-1,0
2014-04-02 15:30:00,0,72683788.8839,72683788.8839,0,-1,0
2014-04-02 15:35:00,0,-73062893.3177,73062893.3177,0,-1,0
2014-04-02 15:40:00,0,124469893.149,124469893.149,0,-1,0
2014-04-02 15:45:00,0,160678236.69,160678236.69,0,-1,0
2014-04-02 15:50:00,0,67564646.7202,67564646.7202,0,-1,0
2014-04-02 15:55:00,0,-52909328.9239,52909328.9239,0,-1,0
2014-04-02 16:00:00,0,-48597456.8413,48597456.8413,0,-1,0
2014-04-02 16:05:00,0,95544582.6611,95544582.6611,0,-1,0
2014-04-02 16:10:00,0,-31773933.7596,31773933.7596,0,-1,0
2014-04-02 16:15:00,0,-27960782.3178,27960782.3178,0,-1,0
2014-04-02 16:20:00,0,75390825.9491,75390825.9491,0,-1,0
2014-04-02 16:25:00,0,90517614.5601,90517614.5601,0,-1,0
2014-04-02 16:30:00,0,34186590.6985,34186590.6985,0,-1,0
2014-04-02 16:35:00,0,24219877.3971,24219877.3971,0,-1,0
2014-04-02 16:40:00,0,-16096816.0955,16096816.0955,0,-1,0
2014-04-02 16:45:00,0,39753357.3651,39753357.3651,0,-1,0
2014-04-02 16:50:00,0,152062451.164,152062451.164,0,-1,0
2014-04-02 16:55:00,0,-118170081.782,118170081.782,0,-1,0
2014-04-02 17:00:00,0,-76987017.016,76987017.016,0,-1,0
2014-04-02 17:05:00,34572700,-15893671.4088,50466371.4088,0,-1,0
2014-04-02 17:10:00,323807000,60993731.5232,262813268.477,0,-1,0
2014-04-02 17:15:00,143349000,94937659.1697,48411340.8303,0,-1,0
2014-04-02 17:20:00,35015100,78958326.5953,43943226.5953,0,-1,0
2014-04-02 17:25:00,9830.4,-15480406.0881,15490236.4881,0,-1,0
2014-04-02 17:30:00,0,97662222.5988,97662222.5988,0,-1,0
2014-04-02 17:35:00,0,-138467778.184,138467778.184,0,-1,0
2014-04-02 17:40:00,1259110,-7750560.02975,9009670.02975,0,-1,0
2014-04-02 17:45:00,49739400,71408112.2053,21668712.2053,0,-1,0
2014-04-02 17:50:00,12263400,111421482.533,99158082.533,0,-1,0
2014-04-02 17:55:00,0,146661255.671,146661255.671,0,-1,0
2014-04-02 18:00:00,0,-25771155.5639,25771155.5639,0,-1,0
2014-04-02 18:05:00,0,156415088.201,156415088.201,0,-1,0
2014-04-02 18:10:00,0,108884233.846,108884233.846,0,-1,0
2014-04-02 18:15:00,43611800,-62743865.3875,106355665.387,0,-1,0
2014-04-02 18:20:00,19225800,-111132363.589,130358163.589,0,-1,0
2014-04-02 18:25:00,36003000,189777045.667,153774045.667,0,-1,0
2014-04-02 18:30:00,385991000,36517879.635,349473120.365,0,-1,0
2014-04-02 18:35:00,107839000,-24909291.7469,132748291.747,0,-1,0
2014-04-02 18:40:00,6696960,51770003.2868,45073043.2868,0,-1,0
2014-04-02 18:45:00,0,38998840.3056,38998840.3056,0,-1,0
2014-04-02 18:50:00,0,114145971.277,114145971.277,0,-1,0
2014-04-02 18:55:00,0,-39680786.2443,39680786.2443,0,-1,0
2014-04-02 19:00:00,0,-12534956.1776,12534956.1776,0,-1,0
2014-04-02 19:05:00,0,37419903.5545,37419903.5545,0,-1,0
2014-04-02 19:10:00,1376260,88739536.3966,87363276.3966,0,-1,0
2014-04-02 19:15:00,19660.8,-114292024.965,114311685.765,0,-1,0
2014-04-02 19:20:00,0,18822758.2192,18822758.2192,0,-1,0
2014-04-02 19:25:00,0,117264176.713,117264176.713,0,-1,0
2014-04-02 19:30:00,0,203627925.37,203627925.37,0,-1,0
2014-04-02 19:35:00,0,-8305453.93149,8305453.93149,0,-1,0
2014-04-02 19:40:00,0,2233612.40219,2233612.40219,0,-1,0
2014-04-02 19:45:00,0,46524611.7146,46524611.7146,0,-1,0
