timestamp,value,predicted_value,error,p_label,fired,r_label
2014-07-01 00:00:00,10844,15467.9541518,4623.95415184,0,-1,0
2014-07-01 00:30:00,8127,13322.2968822,5195.29688222,0,-1,0
2014-07-01 01:00:00,6210,-2917.88937682,9127.88937682,0,-1,0
2014-07-01 01:30:00,4656,11526.495149,6870.495149,0,-1,0
2014-07-01 02:00:00,3820,11614.4196625,7794.41966252,0,-1,0
2014-07-01 02:30:00,2873,10485.9850953,7612.98509528,0,-1,0
2014-07-01 03:00:00,2369,14257.7064767,11888.7064767,0,-1,0
2014-07-01 03:30:00,2064,2784.97899676,720.978996763,0,-1,0
2014-07-01 04:00:00,2221,22667.2689047,20446.2689047,0,-1,0
2014-07-01 04:30:00,2158,21190.7692509,19032.7692509,0,-1,0
2014-07-01 05:00:00,2515,19666.8641987,17151.8641987,0,-1,0
2014-07-01 05:30:00,4364,20816.0606019,16452.0606019,0,-1,0
2014-07-01 06:00:00,6526,22964.9097571,16438.9097571,0,-1,0
2014-07-01 06:30:00,11039,17400.3167843,6361.31678431,0,-1,0
2014-07-01 07:00:00,13857,3677.56019013,10179.4398099,0,-1,0
2014-07-01 07:30:00,15865,8631.07914275,7233.92085725,0,-1,0
2014-07-01 08:00:00,17920,12451.6094776,5468.39052239,0,-1,0
2014-07-01 08:30:00,20346,18220.0635276,2125.93647236,0,-1,0
2014-07-01 09:00:00,19539,-7918.2699324,27457.2699324,0,-1,0
2014-07-01 09:30:00,20107,9495.96770022,10611.0322998,0,-1,0
2014-07-01 10:00:00,18984,20174.3267066,1190.32670656,0,-1,0
2014-07-01 10:30:00,17720,9809.39960751,7910.60039249,0,-1,0
2014-07-01 11:00:00,17249,24980.5447908,7731.54479078,0,-1,0
2014-07-01 11:30:00,18463,11020.3592991,7442.64070088,0,-1,0
2014-07-01 12:00:00,18908,24423.2425527,5515.24255268,0,-1,0
2014-07-01 12:30:00,18886,1289.13491889,17596.8650811,0,-1,0
2014-07-01 13:00:00,18178,25256.5269334,7078.52693335,0,-1,0
2014-07-01 13:30:00,19459,21096.8533851,1637.85338507,0,-1,0
2014-07-01 14:00:00,19546,1724.19820128,17821.8017987,0,-1,0
2014-07-01 14:30:00,20591,4306.58165194,16284.4183481,0,-1,0
2014-07-01 15:00:00,19380,10482.8442941,8897.15570591,0,-1,0
2014-07-01 15:30:00,18544,18982.869805,438.869805035,0,-1,0
2014-07-01 16:00:00,16228,7755.82056129,8472.17943871,0,-1,0
2014-07-01 16:30:00,15013,4926.90836653,10086.0916335,0,-1,0
2014-07-01 17:00:00,17203,25455.2832104,8252.28321044,0,-1,0
2014-07-01 17:30:00,19525,8564.38589931,10960.6141007,0,-1,0
2014-07-01 18:00:00,22966,16789.3413516,6176.65864844,0,-1,0
2014-07-01 18:30:00,27598,6103.10883823,21494.8911618,0,-1,0
2014-07-01 19:00:00,26827,8632.57954777,18194.4204522,0,-1,0
2014-07-01 19:30:00,24904,13028.0359272,11875.9640728,0,-1,0
2014-07-01 20:00:00,22875,17442.7814674,5432.21853263,0,-1,0
2014-07-01 20:30:00,20394,18424.8681119,1969.13188807,0,-1,0
2014-07-01 21:00:00,23401,17404.8974259,5996.10257408,0,-1,0
2014-07-01 21:30:00,24439,8920.01815616,15518.9818438,0,-1,0
2014-07-01 22:00:00,23318,3705.25084609,19612.7491539,0,-1,0
2014-07-01 22:30:00,21733,19350.2179599,2382.78204012,0,-1,0
2014-07-01 23:00:00,20104,10884.0913557,9219.90864434,0,-1,0
2014-07-01 23:30:00,16111,11546.6611335,4564.33886651,0,-1,0
2014-07-02 00:00:00,13370,4122.18333818,9247.81666182,0,-1,0
2014-07-02 00:30:00,9945,9546.76750482,398.232495177,0,-1,0
2014-07-02 01:00:00,7571,3210.35143151,4360.64856849,0,-1,0
2014-07-02 01:30:00,5917,16776.5085517,10859.5085517,0,-1,0
2014-07-02 02:00:00,4820,15569.9004505,10749.9004505,0,-1,0
2014-07-02 02:30:00,3634,26750.1101102,23116.1101102,0,-1,0
2014-07-02 03:00:00,2993,11336.5233381,8343.52333813,0,-1,0
2014-07-02 03:30:00,2535,17165.1379031,14630.1379031,0,-1,0
2014-07-02 04:00:00,2570,10420.2290227,7850.22902269,0,-1,0
2014-07-02 04:30:00,2485,9638.14527005,7153.14527005,0,-1,0
2014-07-02 05:00:00,2868,13095.0746322,10227.0746322,0,-1,0
2014-07-02 05:30:00,4482,6366.66702521,1884.66702521,0,-1,0
2014-07-02 06:00:00,6788,18969.9734252,12181.9734252,0,-1,0
2014-07-02 06:30:00,11078,12543.5591776,1465.55917763,0,-1,0
2014-07-02 07:00:00,13729,12405.1069462,1323.89305379,0,-1,0
2014-07-02 07:30:00,16700,4391.55789329,12308.4421067,0,-1,0
2014-07-02 08:00:00,19156,26422.0867034,7266.08670339,0,-1,0
2014-07-02 08:30:00,19953,20868.8595174,915.859517403,0,-1,0
2014-07-02 09:00:00,19502,4895.44473842,14606.5552616,0,-1,0
2014-07-02 09:30:00,18994,10248.001532,8745.99846796,0,-1,0
2014-07-02 10:00:00,17311,22409.063243,5098.06324304,0,-1,0
2014-07-02 10:30:00,17904,16729.408635,1174.59136502,0,-1,0
2014-07-02 11:00:00,17133,13425.0079852,3707.99201475,0,-1,0
2014-07-02 11:30:00,18589,7894.61526272,10694.3847373,0,-1,0
2014-07-02 12:00:00,19134,14450.5459416,4683.45405837,0,-1,0
2014-07-02 12:30:00,19259,7290.38964187,11968.6103581,0,-1,0
2014-07-02 13:00:00,18667,12413.4875813,6253.51241865,0,-1,0
2014-07-02 13:30:00,19078,3027.21924547,16050.7807545,0,-1,0
