timestamp,value,predicted_value,error,p_label,fired,r_label
2015-07-10 14:24:00,564,803.29662893,239.29662893,0,-1,0
2015-07-10 14:38:00,730,266.644287203,463.355712797,0,-1,0
2015-07-10 14:48:00,770,289.084599364,480.915400636,0,-1,0
2015-07-10 15:03:00,910,754.901662861,155.098337139,0,-1,0
2015-07-10 15:22:00,1035,547.687285268,487.312714732,0,-1,0
2015-07-10 15:32:00,1065,261.865014143,803.134985857,0,-1,0
2015-07-10 15:42:00,953,215.988332733,737.011667267,0,-1,0
2015-07-10 15:52:00,1005,429.84503047,575.15496953,0,-1,0
2015-07-10 16:02:00,996,779.501040349,216.498959651,0,-1,0
2015-07-10 16:12:00,901,248.69517568,652.30482432,0,-1,0
2015-07-10 16:22:00,939,-67.3797427659,1006.37974277,0,-1,0
2015-07-10 16:32:00,988,198.378522257,789.621477743,0,-1,0
2015-07-10 16:42:00,1020,621.312840894,398.687159106,0,-1,0
2015-07-10 16:52:00,876,-210.36635534,1086.36635534,0,-1,0
2015-07-10 17:02:00,870,132.153027851,737.846972149,0,-1,0
2015-07-10 17:12:00,809,723.164991657,85.8350083434,0,-1,0
2015-07-10 17:22:00,884,408.709080193,475.290919807,0,-1,0
2015-07-10 17:32:00,926,269.98572169,656.01427831,0,-1,0
2015-07-10 17:42:00,829,803.976743809,25.0232561914,0,-1,0
2015-07-10 18:02:00,712,-23.6329598516,735.632959852,0,-1,0
2015-07-10 18:12:00,624,-253.164822498,877.164822498,0,-1,0
2015-07-10 18:22:00,632,-53.373245056,685.373245056,0,-1,0
2015-07-10 18:32:00,596,252.388201494,343.611798506,0,-1,0
2015-07-10 18:42:00,510,23.9398859981,486.060114002,0,-1,0
2015-07-10 18:52:00,526,-202.411464674,728.411464674,0,-1,0
2015-07-10 19:32:00,99,329.277274856,230.277274856,0,-1,0
2015-07-10 19:42:00,85,-234.841049968,319.841049968,0,-1,0
2015-07-10 20:02:00,85,445.660234412,360.660234412,0,-1,0
2015-07-10 20:12:00,87,-106.348512267,193.348512267,0,-1,0
2015-07-10 20:22:00,93,706.471417926,613.471417926,0,-1,0
2015-07-10 20:42:00,57,401.493272553,344.493272553,0,-1,0
2015-07-10 21:32:00,101,346.372761756,245.372761756,0,-1,0
2015-07-11 10:10:00,177,661.564502477,484.564502477,0,-1,0
2015-07-11 10:30:00,221,179.120863201,41.8791367988,0,-1,0
2015-07-11 11:00:00,332,278.893708505,53.1062914948,0,-1,0
